Date,Arrivals
2014-12-21,95
2014-12-22,100
2014-12-23,109
2014-12-24,110
2014-12-25,109
2014-12-26,80
2014-12-27,96
2014-12-28,116
2014-12-29,113
2014-12-30,82
2014-12-31,110
2015-01-01,120
2015-01-02,99
2015-01-03,106
2015-01-04,91
2015-01-05,83
2015-01-06,85
2015-01-07,99
2015-01-08,82
2015-01-09,86
2015-01-10,93
2015-01-11,97
2015-01-12,89
2015-01-13,96
2015-01-14,73
2015-01-15,94
2015-01-16,82
2015-01-17,109
2015-01-18,112
2015-01-19,90
2015-01-20,78
2015-01-21,78
2015-01-22,86
2015-01-23,88
2015-01-24,111
2015-01-25,85
2015-01-26,88
2015-01-27,100
2015-01-28,98
2015-01-29,76
2015-01-30,81
2015-01-31,111
2015-02-01,62
2015-02-02,87
2015-02-03,86
2015-02-04,97
2015-02-05,79
2015-02-06,67
2015-02-07,88
2015-02-08,92
2015-02-09,88
2015-02-10,83
2015-02-11,83
2015-02-12,94
2015-02-13,79
2015-02-14,89
2015-02-15,77
2015-02-16,101
2015-02-17,104
2015-02-18,91
2015-02-19,78
2015-02-20,106
2015-02-21,106
2015-02-22,77
2015-02-23,98
2015-02-24,89
2015-02-25,75
2015-02-26,73
2015-02-27,68
2015-02-28,106
2015-03-01,91
2015-03-02,97
2015-03-03,102
2015-03-04,78
2015-03-05,99
2015-03-06,81
2015-03-07,105
2015-03-08,89
2015-03-09,97
2015-03-10,81
2015-03-11,91
2015-03-12,95
2015-03-13,102
2015-03-14,110
2015-03-15,97
2015-03-16,95
2015-03-17,91
2015-03-18,72
2015-03-19,79
2015-03-20,101
2015-03-21,103
2015-03-22,102
2015-03-23,94
2015-03-24,83
2015-03-25,90
2015-03-26,109
2015-03-27,92
2015-03-28,94
2015-03-29,107
2015-03-30,96
2015-03-31,83
2015-04-01,102
2015-04-02,90
2015-04-03,99
2015-04-04,88
2015-04-05,95
2015-04-06,119
2015-04-07,104
2015-04-08,97
2015-04-09,82
2015-04-10,86
2015-04-11,117
2015-04-12,103
2015-04-13,101
2015-04-14,94
2015-04-15,109
2015-04-16,101
2015-04-17,102
2015-04-18,97
2015-04-19,98
2015-04-20,90
2015-04-21,106
2015-04-22,93
2015-04-23,96
2015-04-24,93
2015-04-25,86
2015-04-26,93
2015-04-27,104
2015-04-28,88
2015-04-29,102
2015-04-30,96
2015-05-01,104
2015-05-02,84
2015-05-03,114
2015-05-04,119
2015-05-05,108
2015-05-06,90
